population CA,pcincome CA
19711000.000,4540.000
20023181.000,4815.000
20345575.000,5034.000
20584794.000,5451.000
20867737.000,5947.000
21172548.000,6553.000
21536715.000,7091.000
21934505.000,7815.000
22350247.000,8570.000
22838960.000,9618.000
23255069.000,10846.000
23800800.000,12029.000
24285933.000,13205.000
24820007.000,13774.000
25360023.000,14491.000
25844397.000,15927.000
26441107.000,16909.000
27102238.000,17628.000
27777160.000,18625.000
28464250.000,19713.000
29218165.000,20765.000
29959515.000,21882.000
30470736.000,21983.000
30974659.000,22650.000
31274928.000,22833.000
31484435.000,23348.000
31696582.000,24339.000
32018834.000,25373.000
32486010.000,26521.000
32987675.000,28240.000
33499204.000,29712.000
34010375.000,32363.000
34600463.000,32655.000
